"yearID","playerID","teamID","AB","R","H","2B","3B","HR","SB","CS","BB","SO","TB","GIDP","HBP","SH","SF","IBB"
"2018","despaod01","MIA","79","16","22","6","0","1","0","0","8","18","31","2","1","1","2","1"
"2018","despaod01","LAA","83","18","30","6","0","3","1","0","11","17","45","2","1","0","2","0"
"2018","detwiro01","SEA","20","3","8","0","0","1","0","0","2","2","11","5","0","0","1","0"
"2018","devench02","HOU","178","23","42","6","0","9","8","0","13","51","75","3","3","1","1","1"
"2018","diazed04","SEA","257","17","41","4","1","5","5","2","17","124","62","2","6","0","0","0"
"2018","diazmi02","SDP","71","11","16","7","0","2","2","0","12","30","29","0","0","0","2","2"
"2018","diekmja01","TEX","144","18","31","7","1","2","2","1","23","48","46","6","3","0","2","1"
"2018","diekmja01","ARI","60","15","18","4","0","2","0","1","8","18","28","1","3","0","0","1"
"2018","dixonbr01","CIN","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2018","dominse01","PHI","204","19","32","7","0","4","1","0","22","74","51","3","4","0","1","2"
"2018","doolise01","WSN","155","8","21","3","0","3","4","2","6","60","33","1","2","0","0","1"
"2018","drakeol01","MIL","49","9","14","6","0","0","0","0","8","15","20","2","0","1","0","1"
"2018","drakeol01","CLE","20","6","7","2","0","0","0","0","1","4","9","0","1","0","0","0"
"2018","drakeol01","LAA","39","5","15","2","0","2","0","1","1","8","23","1","0","0","0","0"
"2018","drakeol01","TOR","9","3","4","2","1","0","0","0","0","2","8","0","0","0","0","0"
"2018","drakeol01","MIN","73","6","12","2","0","2","2","0","7","22","20","1","0","0","0","0"
"2018","duensbr01","CHC","147","33","42","8","0","6","2","0","29","24","68","5","1","1","3","2"
"2018","duffety01","MIN","100","22","26","8","1","6","0","0","4","19","54","2","1","0","2","0"
"2018","duffyda01","KCR","610","86","161","24","3","23","5","2","70","141","260","6","4","2","6","1"
"2018","dukeza01","MIN","156","19","44","3","2","0","0","0","15","39","51","2","5","1","1","4"
"2018","dukeza01","SEA","54","9","13","6","0","1","0","0","6","12","22","2","1","1","0","0"
"2018","dullry01","OAK","91","12","22","1","1","3","0","2","7","21","34","3","0","1","1","0"
"2018","dunnmi01","COL","64","17","22","4","1","1","0","1","18","12","31","4","0","0","1","0"
"2018","dysonsa01","SFG","246","23","56","16","1","5","14","5","20","56","89","13","3","1","3","1"
"2018","edwarca01","CHC","189","17","36","8","1","2","10","0","32","67","52","2","0","1","0","1"
"2018","edwarjo02","CLE","33","4","6","2","0","2","0","0","4","10","14","0","0","0","0","0"
"2018","eflinza01","PHI","499","69","130","34","2","16","10","3","37","123","216","5","3","5","4","4"
"2018","eickhje01","PHI","26","4","10","4","0","1","0","0","0","11","17","0","0","0","0","0"
"2018","eliasro01","SEA","190","17","46","12","2","1","6","0","16","34","65","4","1","0","3","1"
"2018","eovalna01","TBR","213","27","48","6","2","11","1","1","8","53","91","5","1","0","2","1"
"2018","eovalna01","BOS","214","28","57","13","1","3","2","0","12","48","81","5","2","1","2","0"
"2018","erlinro01","SDP","419","57","112","20","2","12","5","3","12","88","172","11","0","3","5","0"
"2018","ervinph01","CIN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018","estrama01","TOR","566","91","155","49","2","29","10","4","50","103","295","5","2","1","7","0"
"2018","familje01","NYM","154","13","36","7","1","1","3","1","14","43","48","2","2","0","1","1"
"2018","familje01","OAK","117","13","24","4","0","2","0","0","14","40","34","1","0","0","0","0"
"2018","fariaja01","TBR","242","39","60","14","2","9","3","1","33","50","105","6","3","0","3","1"
"2018","farmebu01","DET","263","34","67","20","0","6","4","3","41","57","105","8","1","1","2","1"
"2018","farquda01","CHW","28","5","6","2","0","3","0","0","0","9","17","1","0","0","1","0"
"2018","farrelu01","CHC","123","22","30","4","1","7","1","0","16","39","57","1","1","0","1","2"
"2018","feddeer01","WSN","192","31","55","13","1","8","6","3","22","46","94","7","0","1","2","1"
"2018","felizmi01","PIT","188","33","49","12","1","6","1","1","23","55","81","1","3","0","3","0"
"2018","ferguca01","LAD","187","21","43","4","2","8","1","0","12","59","75","4","3","0","0","1"
"2018","fernajo04","TOR","41","7","10","2","0","2","0","1","4","6","18","0","0","0","0","0"
"2018","festama01","SEA","37","2","13","4","0","0","2","0","2","4","17","0","1","0","0","0"
"2018","fieldjo04","TBR","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2018","fieldjo03","LAD","143","10","28","6","0","4","1","0","11","33","46","3","0","0","0","1"
"2018","fiersmi01","DET","469","49","121","22","3","20","7","3","26","87","209","5","5","1","1","1"
"2018","fiersmi01","OAK","197","22","45","10","0","12","6","1","11","52","91","4","3","0","1","0"
"2018","fillmhe01","KCR","306","41","78","10","0","11","3","1","32","57","121","12","2","0","4","0"
"2018","finnebr01","CIN","85","20","27","5","0","5","6","0","15","14","47","2","0","0","3","2"
"2018","fistedo01","TEX","263","40","73","14","0","11","3","0","19","40","120","8","6","0","1","0"
"2018","flaheja01","STL","542","59","108","17","1","20","4","0","59","182","187","14","11","2","1","3"
"2018","flexech01","NYM","33","13","14","5","0","2","0","0","6","3","25","1","1","0","0","1"
"2018","floripe01","PHI","7","2","1","0","0","1","0","0","1","0","4","0","0","0","0","0"
"2018","florody01","CIN","142","12","39","10","1","2","5","1","12","27","57","3","0","2","3","3"
"2018","florody01","LAD","99","5","18","2","0","1","1","0","11","31","23","2","1","1","0","3"
"2018","flynnbr01","KCR","295","37","87","17","2","5","1","0","35","47","123","16","3","1","2","3"
"2018","foltymi01","ATL","666","65","130","25","5","17","3","1","68","202","216","11","6","2","1","3"
"2018","fontwi01","LAD","47","13","18","1","0","5","0","1","1","7","34","0","0","0","0","1"
"2018","fontwi01","OAK","33","11","13","2","0","5","0","0","4","9","30","0","0","0","0","0"
"2018","fontwi01","TBR","95","5","15","3","1","2","1","0","11","20","26","2","1","0","0","0"
"2018","frareca01","CHW","26","4","6","0","0","0","0","0","4","9","6","0","1","0","0","0"
"2018","freelky01","COL","757","64","182","26","6","17","9","1","70","173","271","24","6","5","6","2"
"2018","freemsa01","ATL","179","26","41","7","0","3","4","1","32","58","57","8","2","1","2","2"
"2018","friedma01","ATL","116","12","26","3","1","3","3","2","20","44","40","4","2","2","2","0"
"2018","fryja01","CHW","191","28","37","5","1","4","2","0","20","70","56","1","1","2","0","0"
"2018","frypa01","BAL","140","20","33","4","0","1","1","2","15","36","40","6","4","0","0","0"
"2018","fulmeca01","CHW","132","32","37","7","1","8","1","0","24","29","70","1","5","1","2","0"
"2018","fulmemi01","DET","504","75","128","31","2","19","1","4","46","110","220","14","5","1","2","1"
"2018","gagnodr01","NYM","47","11","15","0","0","2","0","0","5","8","21","2","2","2","0","0"
"2018","gallayo01","CIN","15","8","8","1","1","1","2","0","4","2","14","0","0","0","0","0"
"2018","gallayo01","TEX","355","60","99","21","5","13","2","2","43","56","169","19","2","1","1","2"
"2018","gallegi01","NYY","36","5","10","2","0","2","1","2","3","10","18","1","0","1","0","0"
"2018","gallegi01","STL","5","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0"
"2018","gantjo01","STL","422","54","91","20","2","9","5","1","57","95","142","7","2","2","4","3"
"2018","garcigr01","STL","3","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"2018","garcija02","TOR","291","53","76","21","2","13","7","3","38","69","140","6","3","1","2","1"
"2018","garcija02","CHC","27","4","6","0","0","0","3","0","6","4","6","1","0","1","0","1"
