Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
100,bradfch02,28,SEA,53.2,,46,231,210,23,55,8,1,9,6,1,14,38,0.262,0.32,0.438,0.758,0.279,92,3,5,0,2,1,2
101,bradlar01,25,ARI,71.2,,76,296,271,30,62,12,1,9,4,0,20,75,0.229,0.292,0.38,0.672,0.283,103,6,4,1,0,1,1
102,brasiry01,30,BOS,33.2,,34,124,111,6,19,3,1,2,0,1,7,29,0.171,0.211,0.27,0.482,0.2,30,3,0,1,5,0,2
103,braulst01,26,PIT,91.2,,45,413,344,51,84,18,0,10,4,5,57,82,0.244,0.363,0.384,0.747,0.292,132,9,8,3,1,4,4
104,brebbjo01,28,STL,50.2,,45,209,190,18,43,9,1,5,3,2,16,60,0.226,0.284,0.363,0.647,0.299,69,3,0,1,2,2,3
105,breweco01,25,SDP,9.2,,11,49,42,10,15,3,0,0,1,0,7,10,0.357,0.449,0.429,0.878,0.469,18,2,0,0,0,0,1
106,briceau01,26,CIN,37.1,,33,162,144,26,39,9,1,9,3,1,13,32,0.271,0.342,0.535,0.876,0.288,77,3,3,1,1,6,2
107,bridwpa01,26,LAA,6.2,,5,36,32,13,14,1,0,5,0,0,2,3,0.438,0.457,0.938,1.395,0.36,30,1,0,1,1,0,0
108,brighje01,26,MIA,16.1,,4,77,59,11,16,5,0,2,2,0,13,12,0.271,0.403,0.458,0.86,0.292,27,2,2,0,3,0,0
109,brittza01,30,TOT,40.2,,41,169,144,16,29,4,0,3,3,0,21,34,0.201,0.314,0.292,0.605,0.241,42,5,3,0,1,0,3
110,brittza01,30,BAL,15.2,,16,63,52,6,11,3,0,1,0,0,10,13,0.212,0.349,0.327,0.676,0.263,17,2,1,0,0,0,0
111,brittza01,30,NYY,25,,25,106,92,10,18,1,0,2,3,0,11,21,0.196,0.292,0.272,0.564,0.229,25,3,2,0,1,0,3
112,brookaa01,28,OAK,2.2,,3,10,8,0,1,0,0,0,0,0,2,1,0.125,0.3,0.125,0.425,0.143,1,1,0,0,0,0,0
113,brothre01,30,ATL,0,,1,2,0,1,0,0,0,0,0,0,2,0,,1,,,,0,0,0,0,0,0,0
114,buchhcl01,33,ARI,98.1,,16,393,363,25,80,19,1,9,0,0,22,81,0.22,0.268,0.353,0.62,0.256,128,9,3,0,4,1,3
115,buchtry01,31,OAK,39.1,,54,163,146,17,32,8,0,4,0,2,15,41,0.219,0.29,0.356,0.646,0.275,52,0,0,1,1,1,1
116,buehlwa01,23,LAD,137.1,,24,541,493,43,95,17,0,12,3,3,37,151,0.193,0.256,0.3,0.556,0.249,148,5,6,2,3,1,5
117,bumgama01,28,SFG,129.2,,21,551,495,51,118,27,3,14,13,0,43,109,0.238,0.304,0.39,0.694,0.277,193,9,5,5,3,3,7
118,bummeaa01,24,CHW,31.2,,37,144,133,19,40,5,1,1,4,1,10,35,0.301,0.354,0.376,0.73,0.402,50,5,1,0,0,0,3
119,bundydy01,25,BAL,171.2,,31,750,685,116,188,39,4,41,17,5,54,184,0.274,0.332,0.523,0.855,0.318,358,13,6,3,2,1,7
120,burdini01,25,PIT,1.1,,2,10,8,4,3,0,0,1,0,0,2,2,0.375,0.5,0.75,1.25,0.4,6,0,0,0,0,0,1
121,burneco01,23,MIL,38,,30,152,136,11,27,5,0,4,4,1,11,35,0.199,0.272,0.324,0.595,0.235,44,3,3,1,1,2,4
122,burrry01,24,CHW,9.2,,8,44,36,8,12,3,0,3,2,1,6,6,0.333,0.442,0.667,1.109,0.333,24,2,1,1,0,1,0
123,busenal01,27,MIN,25.1,,23,126,109,25,37,7,0,8,3,0,14,26,0.339,0.421,0.624,1.044,0.382,68,2,2,0,1,0,1
124,bushma01,32,TEX,23,,21,108,90,13,23,8,1,3,1,0,14,19,0.256,0.361,0.467,0.828,0.286,42,0,2,0,2,0,2
125,buterdr01,34,KCR,0.1,,1,6,3,2,2,0,0,0,0,0,3,0,0.667,0.833,0.667,1.5,0.667,2,0,0,0,0,0,0
126,butleed01,27,TOT,49.2,,30,228,202,34,59,7,1,11,0,2,19,29,0.292,0.352,0.5,0.852,0.289,101,3,2,1,4,1,6
127,butleed01,27,CHC,17.2,,8,75,66,10,16,1,0,1,0,1,7,11,0.242,0.311,0.303,0.614,0.273,20,1,0,1,1,0,3
128,butleed01,27,TEX,32,,22,153,136,24,43,6,1,10,0,1,12,18,0.316,0.373,0.596,0.968,0.297,81,2,2,0,3,1,3
129,buttrty01,25,LAA,16.1,,16,70,63,7,15,4,0,0,3,0,5,20,0.238,0.29,0.302,0.591,0.341,19,0,0,1,1,0,1
130,cahiltr01,30,OAK,110,,21,450,397,52,90,20,2,8,15,7,41,100,0.227,0.305,0.348,0.653,0.281,138,9,5,3,3,0,3
131,caratvi01,24,CHC,2,,2,8,8,2,3,0,0,1,0,0,0,0,0.375,0.375,0.75,1.125,0.286,6,1,0,0,0,0,0
132,carlesh01,26,ATL,63,,53,259,226,22,50,15,0,2,5,0,27,43,0.221,0.302,0.314,0.616,0.259,71,9,1,1,4,7,3
