yearID,Name,teamID,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
2017,espinpa01,TEX,6.1,,6,27,25,4,6,3,0,2,0,0,2,7,0.24,0.296,0.6,0.896,0.25,15,0,0,0,0,0,0
2017,estevca01,COL,32.1,,35,149,133,21,39,5,1,3,0,0,14,31,0.293,0.365,0.414,0.778,0.364,55,3,1,1,0,2,2
2017,estrama01,TOR,186,,33,806,726,104,186,49,4,31,8,4,71,176,0.256,0.322,0.463,0.785,0.295,336,7,2,0,6,0,4
2017,familje01,NYM,24.2,,26,111,91,14,21,3,0,1,8,1,15,25,0.231,0.339,0.297,0.636,0.299,27,2,1,2,2,3,3
2017,fariaja01,TBR,86.2,,16,357,316,35,71,13,1,11,3,4,31,84,0.225,0.301,0.377,0.677,0.267,119,7,5,1,4,0,3
2017,farmebu01,DET,48,,11,219,193,38,55,11,0,9,1,1,20,49,0.285,0.361,0.482,0.843,0.336,93,3,4,0,2,0,2
2017,farquda01,TOT,49.1,,52,215,175,23,39,6,0,3,2,0,28,45,0.223,0.335,0.309,0.643,0.273,54,3,4,3,5,4,1
2017,farquda01,TBR,35,,37,154,122,16,28,3,0,2,1,0,22,33,0.23,0.355,0.303,0.659,0.286,37,3,4,2,4,4,0
2017,farquda01,CHW,14.1,,15,61,53,7,11,3,0,1,1,0,6,12,0.208,0.283,0.321,0.604,0.244,17,0,0,1,1,0,1
2017,farrelu01,TOT,13,,10,61,51,8,12,2,0,2,0,0,10,9,0.235,0.361,0.392,0.753,0.25,20,0,0,0,0,0,0
2017,farrelu01,KCR,2.2,,1,18,15,5,7,1,0,1,0,0,3,2,0.467,0.556,0.733,1.289,0.5,11,0,0,0,0,0,0
2017,farrelu01,CIN,10.1,,9,43,36,3,5,1,0,1,0,0,7,7,0.139,0.279,0.25,0.529,0.143,9,0,0,0,0,0,0
