Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
53,baumabu01,29,SDP,17.2,,23,72,62,5,11,2,0,4,1,1,7,21,0.177,0.292,0.403,0.695,0.189,25,2,3,0,0,2,2
54,beatope01,30,PHI,0.2,,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,beckch02,26,CHW,64.2,,57,294,252,48,73,17,0,16,5,2,34,42,0.29,0.379,0.548,0.926,0.289,138,11,4,1,3,3,2
56,bedroca01,25,LAA,44.2,,48,190,171,26,41,8,2,5,3,2,17,53,0.24,0.307,0.398,0.705,0.316,68,3,0,1,1,1,3
57,belisma01,37,MIN,60.1,,62,247,220,31,48,10,1,7,4,1,22,54,0.218,0.294,0.368,0.662,0.256,81,7,2,2,1,6,2
58,belivje01,30,TOR,15.2,,19,70,60,14,17,4,0,4,0,0,6,17,0.283,0.348,0.55,0.898,0.317,33,1,1,1,2,1,0
59,bellch02,28,DET,62.1,,28,293,259,49,81,14,1,12,5,2,31,57,0.313,0.392,0.514,0.906,0.363,133,10,3,0,0,3,4
60,benoijo01,39,TOT,50.1,,52,213,189,28,43,9,2,7,2,1,22,46,0.228,0.31,0.407,0.717,0.263,77,3,1,0,1,1,0
61,benoijo01,39,PHI,42,,44,171,155,19,32,8,1,5,2,1,16,43,0.206,0.281,0.368,0.648,0.252,57,2,0,0,0,1,0
62,benoijo01,39,PIT,8.1,,8,42,34,9,11,1,1,2,0,0,6,3,0.324,0.429,0.588,1.017,0.3,20,1,1,0,1,0,0
63,bergmch01,29,SEA,54,,13,230,207,31,61,5,1,12,2,1,15,33,0.295,0.35,0.502,0.852,0.301,104,10,3,4,1,1,2
64,berrijo01,23,MIN,145.2,,26,616,548,71,131,28,2,15,6,3,48,139,0.239,0.313,0.38,0.693,0.291,208,13,13,3,4,0,4
65,betande01,29,NYY,59.2,,66,261,205,20,29,6,0,3,8,3,44,100,0.141,0.323,0.215,0.538,0.255,44,1,11,1,0,0,0
66,bethach01,25,SDP,3.2,,4,25,17,9,6,1,1,1,1,0,8,2,0.353,0.56,0.706,1.266,0.357,12,1,0,0,0,0,1
67,bettich01,28,COL,46.1,,9,200,182,27,52,11,2,8,0,2,11,30,0.286,0.328,0.5,0.828,0.303,91,2,1,5,1,0,2
68,biagijo01,27,TOR,119.2,,44,517,471,78,125,22,4,15,19,1,42,97,0.265,0.327,0.425,0.752,0.305,200,8,2,0,2,0,5
69,bibenau01,32,TEX,69.1,,24,299,274,36,74,13,1,14,3,0,20,38,0.27,0.324,0.478,0.803,0.268,131,7,3,0,2,0,3
70,blachty01,26,SFG,163.2,,34,692,633,91,179,36,6,17,4,2,43,73,0.283,0.327,0.439,0.766,0.296,278,22,1,10,5,2,5
71,blackpa01,23,OAK,58.2,,10,238,221,22,58,9,0,5,1,3,16,22,0.262,0.315,0.371,0.686,0.273,82,9,1,0,0,0,1
72,blairaa01,25,ATL,3,,1,19,12,5,5,1,1,1,2,0,5,3,0.417,0.556,0.917,1.472,0.444,11,0,0,1,1,0,0
73,blancan01,33,PHI,0.1,,1,2,2,1,1,0,0,1,0,0,0,0,0.5,0.5,2,2.5,0,4,0,0,0,0,0,0
74,blantjo01,36,WSN,44.1,,51,195,179,29,53,9,2,10,8,1,13,39,0.296,0.345,0.536,0.882,0.328,96,4,1,1,1,2,1
75,blazemi01,28,MIL,8.2,,5,37,35,9,12,1,0,6,0,0,1,7,0.343,0.361,0.886,1.247,0.273,31,2,0,1,0,0,0
76,bleieri01,30,BAL,63.1,,57,265,241,23,62,9,0,6,5,1,13,26,0.257,0.302,0.369,0.671,0.263,89,9,4,3,4,3,8
77,blevije01,33,NYM,49,,75,217,188,16,43,6,0,4,1,1,24,69,0.229,0.327,0.324,0.652,0.336,61,1,4,0,1,2,3
78,bolsimi01,29,TOR,41.1,,11,196,161,32,48,11,0,9,5,0,27,39,0.298,0.398,0.534,0.932,0.331,86,5,3,0,5,0,1
79,bonilli01,27,CIN,36.2,,10,172,144,33,42,9,2,8,4,1,22,28,0.292,0.388,0.549,0.937,0.309,79,3,2,2,2,0,0
80,boshebu01,29,MIN,35,,38,153,138,20,37,6,1,7,4,2,10,28,0.268,0.322,0.478,0.801,0.286,66,2,2,1,2,1,3
81,bowmama01,26,STL,58.2,,75,247,218,29,52,9,2,4,2,1,18,46,0.239,0.306,0.353,0.659,0.279,77,7,5,2,4,2,4
82,boxbebr01,29,TBR,29.1,,30,121,107,11,23,3,1,4,3,0,11,40,0.215,0.292,0.374,0.665,0.297,40,2,1,1,1,3,0
83,boydma01,26,DET,135,,26,605,540,84,157,32,6,18,4,6,53,110,0.291,0.354,0.472,0.826,0.333,255,10,3,3,6,3,2
84,boyerbl01,35,BOS,41.1,,32,178,161,20,50,8,2,3,0,1,14,33,0.311,0.367,0.441,0.808,0.373,71,7,1,1,1,3,0
85,brachbr01,31,BAL,68,,67,275,245,27,51,11,0,7,0,2,26,70,0.208,0.281,0.339,0.62,0.257,83,5,0,1,3,1,4
86,brachsi01,24,ARI,20.2,,21,87,80,14,18,2,0,5,1,0,7,25,0.225,0.287,0.438,0.725,0.26,35,1,0,0,0,0,1
87,bradfch02,27,NYM,33.2,,28,143,129,17,30,7,0,3,1,1,13,27,0.233,0.301,0.357,0.657,0.27,46,2,0,0,1,1,2
88,bradlar01,24,ARI,73,,63,290,266,14,55,9,2,4,4,1,21,79,0.207,0.266,0.301,0.567,0.277,80,6,1,1,1,2,2
89,bradymi01,30,OAK,31.2,,16,136,122,22,33,10,2,7,0,1,6,24,0.27,0.326,0.557,0.883,0.28,68,3,5,1,2,2,2
90,brantro01,27,CHW,1,,1,4,4,1,1,0,0,1,0,0,0,0,0.25,0.25,1,1.25,0,4,0,0,0,0,0,0
91,braulst01,25,PIT,34.2,,11,162,143,21,41,12,0,3,2,0,14,23,0.287,0.356,0.434,0.79,0.322,62,2,2,2,1,1,2
92,brebbjo01,27,STL,51.2,,50,209,192,15,37,11,1,8,4,0,11,51,0.193,0.255,0.385,0.64,0.218,74,0,5,1,0,3,1
93,breslcr01,36,TOT,35.1,,37,159,138,21,41,9,1,4,2,1,14,23,0.297,0.361,0.464,0.825,0.322,64,2,2,1,4,2,1
94,breslcr01,36,MIN,31,,30,143,124,19,38,8,1,4,2,1,12,18,0.306,0.366,0.484,0.85,0.321,60,1,2,1,4,2,1
95,breslcr01,36,CLE,4.1,,7,16,14,2,3,1,0,0,0,0,2,5,0.214,0.313,0.286,0.598,0.333,4,1,0,0,0,0,0
96,briceau01,25,CIN,32.2,,22,137,125,18,33,4,0,6,4,1,7,26,0.264,0.316,0.44,0.756,0.287,55,3,3,1,1,0,2
97,bridwpa01,25,LAA,121,,21,492,456,52,115,16,1,19,0,2,30,73,0.252,0.303,0.417,0.72,0.262,190,9,4,0,2,0,3
98,brittza01,29,BAL,37.1,,38,161,141,12,39,5,0,1,3,1,18,29,0.277,0.356,0.333,0.69,0.339,47,7,0,1,1,1,2
99,brothre01,29,ATL,23.2,,27,105,92,19,23,5,1,3,0,0,12,33,0.25,0.343,0.424,0.767,0.357,39,2,1,0,0,3,0
100,broxtjo01,33,STL,15.2,,20,78,62,12,23,3,0,2,1,1,11,16,0.371,0.453,0.516,0.969,0.457,32,2,0,3,2,2,0
101,buchaja01,27,CIN,14.1,,5,77,64,13,24,5,0,1,0,0,7,4,0.375,0.453,0.5,0.953,0.383,32,0,3,2,1,2,0
102,buchhcl01,32,PHI,7.1,,2,40,35,10,16,5,0,1,0,0,3,5,0.457,0.475,0.686,1.161,0.484,24,1,0,0,2,0,0
103,buchtry01,30,TOT,65.1,,71,268,235,25,44,10,1,10,2,2,26,65,0.187,0.276,0.366,0.642,0.209,86,3,4,0,3,1,3
104,buchtry01,30,SDP,38.1,,42,161,141,15,28,8,0,7,0,1,18,47,0.199,0.292,0.404,0.696,0.239,57,1,1,0,1,0,1
105,buchtry01,30,KCR,27,,29,107,94,10,16,2,1,3,2,1,8,18,0.17,0.252,0.309,0.561,0.173,29,2,3,0,2,1,2
106,buehlwa01,22,LAD,9.1,,8,44,36,8,11,1,0,2,1,0,8,12,0.306,0.432,0.5,0.932,0.409,18,3,0,0,0,1,0
107,bumgama01,27,SFG,111,,17,450,424,41,101,25,2,17,5,3,20,101,0.238,0.277,0.427,0.704,0.274,181,6,3,2,1,3,3
108,bummeaa01,23,CHW,22,,30,91,73,11,13,2,0,4,1,1,15,17,0.178,0.322,0.37,0.692,0.17,27,2,1,1,1,1,1
109,bundydy01,24,BAL,169.2,,28,698,633,82,152,34,1,26,5,4,51,152,0.24,0.301,0.42,0.721,0.273,266,18,7,0,7,0,3
110,busenal01,26,MIN,31.2,,28,121,107,9,22,2,1,4,1,1,9,23,0.206,0.256,0.355,0.611,0.212,38,3,0,0,5,0,1
111,bushma01,31,TEX,52.1,,57,240,216,30,57,8,2,7,9,1,19,58,0.264,0.333,0.417,0.75,0.329,90,2,4,0,1,0,5
112,butleed01,26,CHC,54.2,,13,237,205,24,50,13,1,4,4,0,28,30,0.244,0.339,0.376,0.715,0.267,77,4,2,1,1,2,2
113,cahiltr01,29,TOT,84,,21,381,331,50,91,17,2,16,17,2,45,87,0.275,0.367,0.483,0.85,0.329,160,9,3,2,0,1,3
114,cahiltr01,29,SDP,61,,11,263,235,29,58,13,1,6,10,2,24,72,0.247,0.324,0.387,0.712,0.331,91,5,3,1,0,1,2
115,cahiltr01,29,KCR,23,,10,118,96,21,33,4,1,10,7,0,21,15,0.344,0.462,0.719,1.18,0.324,69,4,0,1,0,0,1
116,cainma01,32,SFG,124.1,,27,568,507,85,157,25,3,18,15,4,49,75,0.31,0.369,0.477,0.846,0.331,242,13,2,3,6,6,5
117,callaja01,22,NYM,6.2,,9,30,28,4,7,1,1,0,0,0,1,5,0.25,0.267,0.357,0.624,0.292,10,0,0,0,1,0,2
118,campole01,29,TOR,13.2,,13,60,51,6,11,5,0,2,1,0,8,15,0.216,0.333,0.431,0.765,0.265,22,2,1,0,0,0,1
119,cappsca01,26,SDP,12.1,,11,49,46,9,12,1,0,2,2,1,2,7,0.261,0.286,0.413,0.699,0.263,19,0,0,0,1,0,0
120,carlesh01,25,COL,4,,3,19,19,3,6,1,0,1,0,0,0,4,0.316,0.316,0.526,0.842,0.357,10,0,0,0,0,0,0
121,carraca01,30,CLE,200,,32,798,735,73,173,44,2,21,5,8,46,226,0.235,0.287,0.386,0.674,0.308,284,19,10,1,6,2,2
122,cashnan01,30,TEX,166.2,,28,704,624,75,156,25,1,15,8,4,64,86,0.25,0.326,0.365,0.692,0.267,228,23,9,2,5,0,10
123,garcija01,36,OAK,59,,63,259,224,29,58,11,1,8,10,0,22,57,0.259,0.333,0.424,0.757,0.303,95,3,6,1,6,1,3
124,castifa01,28,LAD,1.1,,2,8,7,2,3,0,0,0,0,0,1,2,0.429,0.5,0.429,0.929,0.6,3,0,0,0,0,0,0
125,castilu02,24,CIN,89.1,,15,359,317,32,64,13,2,11,1,0,32,98,0.202,0.279,0.36,0.638,0.251,114,5,3,4,3,1,1
126,castrmi01,22,BAL,66.1,,39,274,237,29,53,12,0,8,4,3,28,38,0.224,0.306,0.376,0.682,0.231,89,8,2,3,4,4,3
127,castrsi01,29,OAK,37,,26,153,136,20,32,8,0,7,7,1,14,35,0.235,0.314,0.449,0.762,0.263,61,3,2,0,1,0,1
128,cecilbr01,30,STL,67.1,,73,277,256,31,67,18,0,7,5,2,16,66,0.262,0.3,0.414,0.714,0.319,106,5,0,0,5,3,0
129,cedenxa01,30,TBR,3,,9,21,16,5,7,0,0,3,0,0,4,0,0.438,0.55,1,1.55,0.308,16,0,0,1,0,1,1
130,cervehu01,27,MIA,4.2,,5,24,12,8,1,0,0,0,0,0,8,6,0.083,0.478,0.083,0.562,0.143,1,1,2,1,1,0,0
131,cessalu01,25,NYY,36,,10,160,140,21,36,8,1,7,2,2,17,30,0.257,0.35,0.479,0.829,0.282,67,2,3,0,0,0,1
132,chacial01,24,CIN,6,,6,32,28,7,11,2,0,2,0,0,4,6,0.393,0.469,0.679,1.147,0.45,19,1,0,0,0,0,0
133,chacijh01,29,SDP,180.1,,32,765,667,82,157,31,2,19,5,3,72,153,0.235,0.32,0.373,0.693,0.275,249,16,14,6,6,5,5
134,chafian01,27,ARI,51.1,,71,221,195,21,48,8,1,5,1,1,21,61,0.246,0.324,0.374,0.699,0.331,73,3,2,2,1,3,0
135,chapmar01,29,NYY,50.1,,52,210,185,20,37,9,0,3,10,2,20,69,0.2,0.287,0.297,0.584,0.298,55,1,3,0,1,2,2
136,chatwty01,27,COL,147.2,,33,631,543,79,136,26,9,20,5,5,77,120,0.25,0.346,0.442,0.788,0.286,240,23,4,4,3,2,3
137,chaveje01,33,LAA,138,,38,586,537,83,148,27,3,28,5,6,45,119,0.276,0.333,0.493,0.826,0.306,265,12,2,0,2,2,1
138,chenwe02,31,MIA,33,,9,132,121,14,25,4,2,3,0,0,9,25,0.207,0.265,0.347,0.612,0.234,42,1,1,0,1,0,0
139,cingrto01,27,TOT,42.2,,47,176,162,22,40,9,0,10,2,1,12,52,0.247,0.303,0.488,0.791,0.3,79,2,1,1,0,0,1
140,cingrto01,27,CIN,23.1,,25,99,92,14,25,7,0,9,1,1,6,24,0.272,0.323,0.641,0.965,0.271,59,1,1,0,0,0,1
141,cingrto01,27,LAD,19.1,,22,77,70,8,15,2,0,1,1,0,6,28,0.214,0.276,0.286,0.562,0.341,20,1,0,1,0,0,0
142,cishest01,31,TOT,44.2,,49,174,156,10,26,3,0,3,0,0,14,41,0.167,0.247,0.244,0.491,0.204,38,6,3,0,1,1,3
143,cishest01,31,SEA,20,,23,80,71,7,13,2,0,3,0,0,7,15,0.183,0.263,0.338,0.601,0.185,24,3,1,0,1,1,2
144,cishest01,31,TBR,24.2,,26,94,85,3,13,1,0,0,0,0,7,26,0.153,0.234,0.165,0.399,0.22,14,3,2,0,0,0,1
145,claibpr01,29,TEX,2,,1,10,10,3,5,4,0,0,0,0,0,2,0.5,0.5,0.9,1.4,0.625,9,1,0,0,0,0,0
146,claudal01,25,TEX,82.2,,70,323,302,26,71,10,0,5,0,0,15,56,0.235,0.273,0.318,0.591,0.27,96,12,2,1,3,4,1
147,clevimi01,26,CLE,121.2,,27,502,437,46,92,25,0,13,4,10,60,137,0.211,0.31,0.357,0.667,0.275,156,8,3,1,0,2,3
148,clippty01,32,TOT,60.1,,67,264,225,33,47,12,1,10,10,1,31,72,0.209,0.307,0.404,0.711,0.253,91,1,2,3,3,1,4
149,clippty01,32,NYY,36.1,,40,158,134,21,28,6,1,7,4,1,19,42,0.209,0.31,0.425,0.735,0.244,57,0,1,3,1,1,2
150,clippty01,32,CHW,10,,11,44,38,2,8,3,0,0,3,0,5,12,0.211,0.295,0.289,0.585,0.296,11,0,0,0,1,0,1
151,clippty01,32,HOU,14,,16,62,53,10,11,3,0,3,3,0,7,18,0.208,0.306,0.434,0.74,0.242,23,1,1,0,1,0,1
152,cloydty01,30,SEA,1,,1,4,4,0,2,1,0,0,0,0,0,1,0.5,0.5,0.75,1.25,0.667,3,0,0,0,0,0,0
153,cobbal01,29,TBR,179.1,,29,742,689,78,175,36,1,22,14,4,44,128,0.254,0.304,0.405,0.709,0.283,279,16,6,2,1,2,8
154,coleaj01,25,WSN,52,,11,229,195,23,51,9,1,8,5,1,27,44,0.262,0.358,0.441,0.799,0.299,86,3,3,3,1,0,0
155,colege01,26,PIT,203,,33,849,784,98,199,36,6,31,17,2,55,196,0.254,0.306,0.434,0.739,0.301,340,16,4,5,1,1,8
156,coleta01,27,TOR,1,,1,10,8,4,6,1,0,0,0,0,1,1,0.75,0.8,0.875,1.675,0.857,7,0,1,0,0,0,0
157,collmjo01,31,ATL,17,,11,87,78,19,29,5,0,7,0,0,6,18,0.372,0.412,0.705,1.117,0.407,55,1,0,2,1,2,2
158,colomal01,28,TBR,66.2,,65,281,246,27,57,12,1,4,1,0,23,58,0.232,0.299,0.337,0.636,0.279,83,6,3,3,6,7,4
159,colonba01,44,TOT,143,,28,648,603,112,192,50,4,28,6,2,35,89,0.318,0.355,0.554,0.909,0.335,334,10,1,6,3,0,6
160,colonba01,44,ATL,63,,13,299,272,66,92,24,2,11,4,1,20,42,0.338,0.383,0.563,0.946,0.367,153,6,1,4,2,0,5
161,colonba01,44,MIN,80,,15,349,331,46,100,26,2,17,2,1,15,47,0.302,0.331,0.547,0.878,0.31,181,4,0,2,1,0,1
162,conlead01,27,MIA,102.2,,22,463,403,74,114,17,5,19,0,0,42,72,0.283,0.36,0.491,0.852,0.303,198,10,8,8,2,4,3
163,corbipa01,27,ARI,189.2,,33,826,753,97,208,47,7,26,6,5,61,178,0.276,0.331,0.461,0.792,0.329,347,14,3,4,5,8,11
164,cosarja01,27,SDP,24,,7,114,92,15,26,4,1,0,2,1,19,15,0.283,0.416,0.348,0.764,0.338,32,4,2,1,0,0,1
165,cottojh01,25,OAK,129,,24,566,498,91,133,29,0,28,7,6,53,105,0.267,0.339,0.494,0.833,0.284,246,10,4,4,5,1,6
166,couloda01,27,OAK,51.2,,72,219,192,22,46,12,2,4,2,4,22,39,0.24,0.329,0.385,0.714,0.28,74,6,4,0,1,1,3
167,coveydy01,25,CHW,70,,18,309,272,60,83,17,1,20,10,1,34,41,0.305,0.383,0.596,0.979,0.297,162,12,1,1,1,1,1
168,crichst01,25,BAL,12.1,,8,62,57,11,26,4,1,2,0,1,4,8,0.456,0.484,0.667,1.151,0.5,38,1,0,0,1,0,0
169,crickky01,24,SFG,32.1,,30,134,115,13,22,2,2,2,1,1,17,28,0.191,0.301,0.296,0.596,0.235,34,3,1,1,0,1,2
170,crockky01,25,CLE,1.2,,4,11,9,2,4,0,0,0,0,0,1,2,0.444,0.545,0.444,0.99,0.571,4,0,1,0,0,0,0
171,cuetojo01,31,SFG,147.1,,25,648,577,77,160,35,5,22,5,2,53,136,0.277,0.345,0.47,0.814,0.327,271,10,8,7,3,2,2
172,cuevawi01,26,DET,0.1,,1,5,4,4,3,1,0,0,0,0,0,1,0.75,0.8,1,1.8,1,4,0,1,0,0,0,0
173,curtiza01,24,TOT,8.1,,6,36,30,4,6,2,0,1,0,0,3,6,0.2,0.314,0.367,0.681,0.217,11,0,2,1,0,0,1
174,curtiza01,24,SEA,4.2,,3,21,18,3,3,0,0,1,0,0,1,2,0.167,0.286,0.333,0.619,0.133,6,0,2,0,0,0,1
175,curtiza01,24,PHI,3.2,,3,15,12,1,3,2,0,0,0,0,2,4,0.25,0.357,0.417,0.774,0.375,5,0,0,1,0,0,0
176,curtijo02,24,MIN,8.2,,9,38,35,8,9,2,0,2,2,0,2,10,0.257,0.316,0.486,0.802,0.304,17,0,1,0,0,0,0
177,danisty01,22,CHW,5,,1,23,17,0,3,1,0,0,0,0,6,6,0.176,0.391,0.235,0.627,0.273,4,1,0,0,0,0,0
178,darviyu01,30,TOT,186.2,,31,766,697,83,159,35,1,27,20,2,58,209,0.228,0.292,0.397,0.689,0.284,277,14,6,2,3,1,7
179,darviyu01,30,TEX,137,,22,564,510,63,115,25,1,20,16,2,45,148,0.225,0.293,0.396,0.689,0.275,202,11,5,1,3,0,5
180,darviyu01,30,LAD,49.2,,9,202,187,20,44,10,0,7,4,0,13,61,0.235,0.289,0.401,0.69,0.311,75,3,1,1,0,1,2
181,davieza02,24,MIL,191.1,,33,817,741,90,204,36,7,20,7,3,55,124,0.275,0.331,0.424,0.755,0.306,314,22,9,7,5,3,8
182,davisjd01,24,HOU,1.2,,2,7,6,0,1,0,0,0,0,0,1,3,0.167,0.286,0.167,0.452,0.333,1,0,0,0,0,0,0
